zipcode,latitude,longitude
00734,17.99949,-66.6439
00735,18.26487,-65.5947
00736,18.10296,-66.1392
00737,18.10296,-66.1392
00738,18.35938,-65.6113
00739,18.18146,-66.1695
00740,18.33195,-65.6387
00741,18.16215,-65.7534
00742,18.26487,-65.5947
00744,18.20632,-65.743
00745,18.36734,-65.8165
00751,17.99852,-66.2648
00754,18.18758,-65.9623
00757,17.99123,-66.3955
00765,18.12334,-65.4603
00766,18.12051,-66.4966
00767,18.04552,-65.8869
00769,18.09599,-66.3508
00771,18.19657,-65.8719
00772,18.4474,-65.8993
00773,18.36602,-65.7081
00775,18.32373,-65.2964
00777,18.20648,-65.9017
00778,18.25909,-65.9746
00780,18.00199,-66.6074
00782,18.22495,-66.2198
00783,18.30436,-66.3305
00784,17.99229,-66.1392
00785,18.01882,-66.7956
00786,18.12809,-66.2687
00791,18.13802,-65.7884
00792,18.13802,-65.7884
00794,18.20089,-66.3072
00795,17.99736,-66.4932
00801,18.32228,-64.9637
00802,18.32228,-64.9637
00803,18.32228,-64.9637
00804,18.32228,-64.9637
00805,18.32228,-64.9637
00820,17.73421,-64.7346
00821,17.73421,-64.7346
00822,17.73421,-64.7346
00823,17.73421,-64.7346
00824,17.73421,-64.7346
00830,18.32816,-64.7407
00831,18.32816,-64.7407
00840,17.73421,-64.7346
00841,17.73421,-64.7346
00850,17.73421,-64.7346
00851,17.73421,-64.7346
00901,18.4659,-66.1035
00902,18.41046,-66.0605
00906,18.41046,-66.0605
00907,18.45164,-66.077
00908,18.41046,-66.0605
00909,18.44338,-66.0681
00910,18.41046,-66.0605
00911,18.45082,-66.0578
00912,18.44418,-66.0598
00913,18.45073,-66.0433
00914,18.41046,-66.0605
00915,18.43789,-66.048
00916,18.41046,-66.0605
00917,18.42201,-66.0506
00918,18.41906,-66.0623
00919,18.41046,-66.0605
00920,18.4068,-66.0918
00921,18.39042,-66.0661
00922,18.41046,-66.0605
00923,18.41077,-66.0367
00924,18.39639,-66.0114
00925,18.40105,-66.0497
00926,18.36937,-66.0628
00927,18.38517,-66.0719
00928,18.41046,-66.0605
00929,18.41046,-66.0605
00930,18.41046,-66.0605
00931,18.41046,-66.0605
00933,18.41046,-66.0605
00934,18.34487,-66.166
00935,18.41046,-66.0605
00936,18.41046,-66.0605
00937,18.41046,-66.0605
00938,18.41046,-66.0605
00939,18.41046,-66.0605
00940,18.41046,-66.0605
00949,18.43191,-66.1996
00950,18.45776,-66.1965
00951,18.45776,-66.1965
00952,18.45776,-66.1965
00953,18.35679,-66.257
00954,18.35893,-66.2581
00955,18.41046,-66.0605
00956,18.3267,-66.1741
00957,18.36664,-66.1839
00958,18.34487,-66.166
00959,18.38705,-66.159
00960,18.34487,-66.166
00961,18.41319,-66.1686
00962,18.43764,-66.1404
00963,18.44321,-66.1392
00965,18.42878,-66.1153
00966,18.39681,-66.1148
00968,18.41046,-66.0605
00969,18.36232,-66.1137
00970,18.35914,-66.1122
00971,18.30942,-66.1136
00975,18.41046,-66.0605
00976,18.33813,-65.9892
00977,18.337,-65.99
00978,18.337,-65.99
00979,18.41046,-66.0605
00981,18.41046,-66.0605
00982,18.41046,-66.0605
00983,18.41345,-65.9776
00984,18.39335,-65.9724
00985,18.34574,-65.9388
00986,18.39335,-65.9724
00987,18.37346,-65.9599
00988,18.39335,-65.9724
01001,42.14054,-72.7886
01002,42.36709,-72.4645
01003,42.36956,-72.6359
01004,42.38449,-72.5131
01005,42.32916,-72.1394
01007,42.28026,-72.402
01008,42.17783,-72.9583
01009,42.20609,-72.3404
01010,42.10858,-72.2044
01011,42.29425,-72.9527
01012,42.39227,-72.8256
01013,42.16149,-72.6673
01014,42.17073,-72.6048
01020,42.17749,-72.5625
01021,42.17073,-72.6048
01022,42.19339,-72.5543
01026,42.42861,-72.9098
01027,42.3683,-72.7688
01028,42.062,-72.4987
01029,42.1909,-73.0516
01030,42.18933,-72.7977
01031,42.35255,-72.2057
01032,42.44383,-72.8194
01033,42.26228,-72.504
01034,42.11274,-72.952
01035,42.3568,-72.5766
01036,42.06761,-72.4175
01037,42.34785,-72.2252
01038,42.38726,-72.643
01039,42.35641,-72.6821
01040,42.19829,-72.642
01041,42.17073,-72.6048
01050,42.31342,-72.9036
01053,42.35383,-72.7043
01054,42.47468,-72.4675
01056,42.17327,-72.627
01057,42.09532,-72.282
01059,42.36956,-72.6359
01060,42.41515,-72.7692
01061,42.36956,-72.6359
01062,42.32883,-72.8452
01063,42.31793,-72.6402
01066,42.40669,-72.6339
01068,42.34614,-72.0588
01069,42.17613,-72.3145
01070,42.44898,-72.9583
01071,42.17743,-72.8645
01072,42.47156,-72.4401
01073,42.23,-72.7284
01074,42.37599,-72.1493
01075,42.24984,-72.5815
01077,42.06664,-72.5412
01079,42.19289,-72.3295
01080,42.1798,-72.5178
01081,42.06194,-72.2135
01082,42.37747,-72.5485
01083,42.20402,-72.1994
01084,42.3903,-72.8708
01085,42.14869,-72.5018
01086,42.17342,-72.8479
01088,42.39058,-72.6468
01089,42.12579,-72.6453
01090,42.17073,-72.6048
01092,42.20288,-72.229
01093,42.44267,-72.6525
01094,42.3582,-72.1408
01095,42.12597,-72.4899
01096,42.41306,-72.8216
01097,42.16174,-72.8459
01098,42.40494,-72.8961
01101,42.17073,-72.6048
01102,42.17073,-72.6048
01103,42.10304,-72.5907
01104,42.1286,-72.5679
01105,42.09979,-72.5777
01106,42.04919,-72.5678
01107,42.12623,-72.5867
01108,42.08059,-72.558
01109,42.11929,-72.5489
01111,42.17073,-72.6048
01114,42.17073,-72.6048
01115,42.10289,-72.5916
01116,42.17073,-72.6048
01118,42.09389,-72.5232
01119,42.12494,-72.5267
01128,42.09461,-72.4872
01129,42.12448,-72.4894
01133,42.17073,-72.6048
01138,42.17073,-72.6048
01139,42.17073,-72.6048
01144,42.10179,-72.5915
01151,42.15059,-72.5127
01152,42.17073,-72.6048
01199,42.11994,-72.6049
01201,42.47947,-73.248
01202,42.3929,-73.2284
01203,42.3929,-73.2284
01220,42.38559,-73.1721
01222,42.18596,-73.3186
01223,42.3418,-73.1034
01224,42.3929,-73.2284
01225,42.48212,-73.1274
01226,42.47029,-73.0889
01227,42.51614,-73.0928
01229,42.27929,-73.3435
01230,42.29939,-73.2666
01235,42.29237,-73.2216
01236,42.29129,-73.3587
01237,42.48756,-73.235
01238,42.36985,-73.2674
01240,42.4592,-73.2198
01242,42.33859,-73.2508
01243,42.35608,-73.0104
01244,42.12282,-73.2539
01245,42.18669,-73.2064
01247,42.42697,-73.1863
01252,42.19864,-73.4462
01253,42.21315,-73.0904
01254,42.2331,-73.2383
01255,42.14897,-73.1486
01256,42.36734,-73.1285
01257,42.31456,-73.2676
01258,42.12807,-73.3608
01259,42.19871,-73.2785
01260,42.28658,-73.3132
01262,42.3046,-73.33
01263,42.3929,-73.2284
01264,42.22,-73.1978
01266,42.36048,-73.2653
01267,42.64207,-73.2576
01270,42.44372,-73.1161
01301,42.60133,-72.6236
01302,42.52217,-72.6241
01330,42.56239,-72.7381
01331,42.5473,-72.1839
01337,42.62706,-72.6428
01338,42.57383,-72.7694
01339,42.59425,-72.6655
01340,42.68153,-72.8229
01341,42.59082,-72.7097
01342,42.54723,-72.6076
01343,42.64266,-72.9862
01344,42.62707,-72.5536
01346,42.61801,-72.7888
01347,42.55655,-72.5181
01349,42.62141,-72.7056
01350,42.72145,-72.9762
01351,42.5481,-72.4869
01354,42.52217,-72.6241
01355,42.51871,-72.5343
01360,42.61415,-72.5282
01364,42.57832,-72.5565
01366,42.45963,-72.1829
01367,42.68306,-72.7156
01368,42.67218,-72.1963
01369,42.52217,-72.6241
01370,42.58881,-72.7587
01373,42.46452,-72.6823
01375,42.56534,-72.7009
01376,42.65487,-72.7181
01378,42.66705,-72.3396
01379,42.581,-72.4371
01380,42.55343,-72.3926
01420,42.58368,-71.8167
01430,42.6549,-71.9209
01431,42.44639,-71.4594
01432,42.44639,-71.4594
01436,42.60142,-72.0838
01438,42.55168,-72.0294
01440,42.58252,-72.0258
01441,42.3648,-71.8968
01450,42.44639,-71.4594
01451,42.50018,-71.5758
01452,42.48389,-72.0115
01453,42.47131,-71.8375
01460,42.44639,-71.4594
01462,42.58332,-71.7522
01463,42.44639,-71.4594
01464,42.44639,-71.4594
01467,42.48705,-71.613
01468,42.55505,-72.0722
01469,42.44639,-71.4594
01470,42.44639,-71.4594
01471,42.44639,-71.4594
01472,42.44639,-71.4594
01473,42.54948,-71.9132
01474,42.44639,-71.4594
01475,42.66161,-72.0478
01477,42.3648,-71.8968
01501,42.18483,-71.9471
01503,42.3129,-71.8416
01504,42.11407,-71.7997
01505,42.30003,-71.9434
01506,42.19169,-72.105
01507,42.13277,-71.9726
01508,42.10974,-72.0794
01509,42.3648,-71.8968
01510,42.41397,-71.6875
01515,42.20531,-72.0499
01516,42.11307,-71.8911
01517,42.3648,-71.8968
01518,42.1064,-72.114
01519,42.20394,-71.6828
01520,42.33679,-71.8453
01521,42.06106,-72.1639
01522,42.26462,-71.7954
01523,42.42718,-71.9117
01524,42.23819,-72.0123
01525,42.3648,-71.8968
01526,42.3648,-71.8968
01527,42.25564,-71.8199
01529,42.12466,-71.8469
01531,42.32093,-72.1286
01532,42.32211,-71.6428
01534,42.20719,-71.8568
01535,42.27538,-72.0893
01536,42.40755,-71.8604
01537,42.16624,-71.891
01538,42.3648,-71.8968
01540,42.10922,-71.8554
01541,42.45192,-71.88
01542,42.22008,-71.9143
01543,42.38351,-71.9546
01545,42.28699,-71.7153
01546,42.3648,-71.8968
01550,42.12925,-72.0311
01560,42.17654,-71.6819
01561,42.44353,-71.6861
01562,42.25483,-72.0656
01564,42.36676,-71.9393
01566,42.10273,-72.0809
01568,42.17559,-71.6031
01569,42.05973,-71.6384
01570,42.1351,-71.9941
01571,42.05918,-71.937
01580,42.3648,-71.8968
01581,42.25522,-71.8458
01582,42.3648,-71.8968
01583,42.36278,-71.7812
01585,42.23563,-72.1725
01586,42.3648,-71.8968
01588,42.16655,-71.8994
01590,42.12657,-71.7551
01601,42.26527,-71.8794
01602,42.27459,-71.8469
01603,42.24544,-71.8392
01604,42.24795,-71.7667
01605,42.28879,-71.7961
01606,42.31183,-71.7944
01607,42.22645,-71.7925
01608,42.2935,-71.9256
01609,42.28256,-71.8276
01610,42.24648,-71.8089
01611,42.23939,-71.8787
01612,42.30467,-71.8928
01613,42.29331,-71.8019
01614,42.3648,-71.8968
01615,42.3648,-71.8968
01653,42.3648,-71.8968
01654,42.3648,-71.8968
01655,42.3648,-71.8968
01701,42.44639,-71.4594
01702,42.44639,-71.4594
01703,42.44639,-71.4594
01704,42.44639,-71.4594
01705,42.44639,-71.4594
01718,42.44639,-71.4594
01719,42.44639,-71.4594
01720,42.44639,-71.4594
01721,42.44639,-71.4594
01730,42.44639,-71.4594
01731,42.44639,-71.4594
01740,42.43604,-71.6059
01741,42.44639,-71.4594
01742,42.44639,-71.4594
01745,42.29344,-71.5027
01746,42.44639,-71.4594
01747,42.12751,-71.5331
01748,42.44639,-71.4594
01749,42.44639,-71.4594
01752,42.44639,-71.4594
01754,42.44639,-71.4594
01756,42.10035,-71.5469
01757,42.14708,-71.528
01760,42.44639,-71.4594
01770,42.44639,-71.4594
01772,42.29684,-71.5332
01773,42.44639,-71.4594
01775,42.44639,-71.4594
01776,42.44639,-71.4594
01778,42.44639,-71.4594
01784,42.44639,-71.4594
01801,42.48859,-71.1572
01803,42.50484,-71.2015
01805,42.44639,-71.4594
01806,42.44639,-71.4594
01807,42.44639,-71.4594
01808,42.44639,-71.4594
01810,42.64799,-71.1656
01812,42.64719,-71.1842
01813,42.44639,-71.4594
01815,42.44639,-71.4594
01821,42.44639,-71.4594
01822,42.44639,-71.4594
01824,42.44639,-71.4594
01826,42.44639,-71.4594
01827,42.44639,-71.4594
01830,42.79263,-71.0725
01831,42.77109,-71.122
01832,42.78962,-71.1265
01833,42.72377,-70.9812
01834,42.75107,-71.0214
01835,42.75284,-71.0843
01840,42.70734,-71.161
01841,42.70979,-71.1644
01842,42.63544,-70.8791
01843,42.71037,-71.0883
01844,42.73184,-71.1869
01845,42.67283,-71.0876
01850,42.44639,-71.4594
01851,42.44639,-71.4594
01852,42.44639,-71.4594
01853,42.44639,-71.4594
01854,42.44639,-71.4594
01860,42.80244,-71.0896
01862,42.44639,-71.4594
01863,42.44639,-71.4594
01864,42.58133,-71.0837
01865,42.44639,-71.4594
01866,42.44639,-71.4594
01867,42.53706,-71.1071
01876,42.44639,-71.4594
01879,42.44639,-71.4594
01880,42.49989,-71.0688
01885,42.63544,-70.8791
01886,42.44639,-71.4594
01887,42.56178,-71.1738
01888,42.44639,-71.4594
01889,42.57163,-71.1096
01890,42.45454,-71.1487
01899,42.63544,-70.8791
01901,42.46124,-70.9467
01902,42.47319,-70.9285
01903,42.63544,-70.8791
01904,42.48889,-70.9646
01905,42.46939,-70.9728
01906,42.47211,-70.9977
01907,42.51329,-70.9058
01908,42.42729,-70.9224
01910,42.45479,-70.9746
01913,42.85353,-70.9482
01915,42.56514,-70.8538
01921,42.68325,-71.0174
01922,42.76321,-70.9281
01923,42.57718,-70.9492
01929,42.62781,-70.7805
01930,42.63001,-70.6941
01931,42.63544,-70.8791
01936,42.63544,-70.8791
01937,42.63544,-70.8791
01938,42.68571,-70.8641
01940,42.53373,-71.0287
01944,42.5795,-70.755
01945,42.56142,-70.7707
01947,42.64284,-70.8736
01949,42.64494,-71.0879
01950,42.80965,-70.8731
01951,42.77752,-70.8672
01952,42.85123,-70.8656
01960,42.53699,-70.9736
01961,42.63544,-70.8791
01965,42.55811,-70.8257
01966,42.65786,-70.618
01969,42.71615,-70.8927
01970,42.51294,-70.9042
01971,42.63544,-70.8791
01982,42.62666,-70.8511
01983,42.66179,-70.9544
01984,42.59769,-70.8732
01985,42.79414,-70.971
02018,41.97047,-70.7013
02019,42.0765,-71.4704
02020,42.08182,-70.6438
02021,42.17914,-71.1211
02025,42.23393,-70.8158
02026,42.24473,-71.1811
02027,42.18004,-71.0892
02030,42.23611,-71.283
02031,41.99879,-71.2008
02032,42.15378,-71.2145
02035,42.0622,-71.2357
02038,42.08868,-71.4048
02040,41.97047,-70.7013
02041,42.06964,-70.649
02043,42.2121,-70.8849
02044,41.97047,-70.7013
02045,42.28441,-70.8736
02047,42.14283,-70.6935
02048,42.01318,-71.2183
02050,42.1118,-70.7107
02051,42.1512,-70.7341
02052,42.18126,-71.3099
02053,42.15628,-71.4276
02054,42.16524,-71.3612
02055,41.97047,-70.7013
02056,42.11751,-71.3317
02059,41.97047,-70.7013
02060,41.97047,-70.7013
02061,42.15414,-70.823
02062,42.18279,-71.1962
02065,42.09721,-70.6515
02066,42.20725,-70.7701
02067,42.10528,-71.1847
02070,42.18004,-71.0892
02071,42.10039,-71.2709
02072,42.11841,-71.1057
02081,42.14862,-71.2555
02090,42.22054,-71.1992
02093,42.05431,-71.3711
02101,42.37056,-71.0269
02102,42.33894,-70.9196
02103,42.33894,-70.9196
02104,42.33894,-70.9196
02105,42.33894,-70.9196
02106,42.35431,-71.0734
02107,42.33894,-70.9196
02108,42.3538,-71.1024
02109,42.36002,-71.0544
02110,42.35284,-71.0514
02111,42.35104,-71.0593
02112,42.33894,-70.9196
02113,42.36539,-71.055
02114,42.36209,-71.0236
02115,42.34204,-71.0968
02116,42.3472,-71.086
02117,42.33894,-70.9196
02118,42.33616,-71.0728
02119,42.32307,-71.0846
02120,42.33248,-71.0964
02121,42.30709,-71.0816
02122,42.29658,-71.0552
02123,42.33894,-70.9196
02124,42.28678,-71.071
02125,42.31476,-71.0672
02126,42.30124,-71.1051
02127,42.32902,-71.0203
02128,42.36419,-71.0256
02129,42.38258,-71.0652
02130,42.30966,-71.121
02131,42.28419,-71.1208
02132,42.27789,-71.1558
02133,42.33894,-70.9196
02134,42.35716,-71.1126
02135,42.34976,-71.1048
02136,42.25424,-71.1293
02137,42.33894,-70.9196
02138,42.38044,-71.1329
02139,42.36514,-71.1018
02140,42.39324,-71.1338
02141,42.36867,-71.0835
02142,42.36284,-71.0848
02143,42.38092,-71.0988
02144,42.40269,-71.1202
02145,42.39104,-71.0951
02146,42.30819,-71.0887
02147,42.18004,-71.0892
02148,42.43654,-71.0853
02149,42.40739,-71.0511
02150,42.37819,-71.0388
02151,42.3663,-71.0204
02152,42.37844,-70.9816
02153,42.44639,-71.4594
02154,42.38893,-71.2398
02155,42.42209,-71.1092
02156,42.44639,-71.4594
02157,42.17393,-71.1854
02158,42.35369,-71.1881
02159,42.31609,-71.1912
02160,42.44639,-71.4594
02161,42.44639,-71.4594
02162,42.33189,-71.254
02163,42.32532,-71.1121
02164,42.44639,-71.4594
02165,42.44639,-71.4594
02166,42.34614,-71.243
02167,42.32079,-71.1698
02168,42.44639,-71.4594
02169,42.24179,-71.006
02170,42.26724,-71.0167
02171,42.28489,-71.0142
02172,42.37259,-71.1779
02173,42.44639,-71.4594
02174,42.41769,-71.167
02175,42.44639,-71.4594
02176,42.45899,-71.053
02177,42.44639,-71.4594
02178,42.44639,-71.4594
02179,42.44639,-71.4594
02180,42.47459,-71.0981
02181,42.30059,-71.2787
02184,42.20221,-71.0051
02185,42.18004,-71.0892
02186,42.24059,-71.0784
02187,42.18004,-71.0892
02188,42.20794,-70.9551
02189,42.21064,-70.9323
02190,42.16784,-70.9507
02191,42.25149,-70.9448
02192,42.18004,-71.0892
02193,42.44639,-71.4594
02194,42.29254,-71.2257
02195,42.44639,-71.4594
02196,42.33894,-70.9196
02199,42.34724,-71.0823
02201,42.33894,-70.9196
02202,42.36109,-71.0618
02203,42.36148,-71.0603
02204,42.33894,-70.9196
02205,42.35033,-71.0538
02206,42.33894,-70.9196
02207,42.33894,-70.9196
02208,42.33894,-70.9196
02209,42.33894,-70.9196
02210,42.34754,-71.0406
02211,42.33894,-70.9196
02212,42.44639,-71.4594
02215,42.34507,-71.1076
02216,42.33894,-70.9196
02217,42.33894,-70.9196
02222,42.36438,-71.0633
02238,42.44639,-71.4594
02239,42.44639,-71.4594
02241,42.33894,-70.9196
02254,42.44639,-71.4594
02258,42.44639,-71.4594
02266,42.33894,-70.9196
02269,42.18004,-71.0892
02272,42.44639,-71.4594
02277,42.44639,-71.4594
02283,42.33894,-70.9196
02284,42.33894,-70.9196
02293,42.33894,-70.9196
02295,42.33894,-70.9196
02297,42.33894,-70.9196
02301,42.07939,-71.0399
02302,42.08475,-71.0001
02303,41.97047,-70.7013
02304,41.97047,-70.7013
02305,41.97047,-70.7013
02322,42.12604,-71.0482
02324,41.97374,-70.9765
02325,41.98725,-70.9727
02327,42.0407,-70.8272
02330,41.89623,-70.7596
02331,41.97047,-70.7013
02332,42.05298,-70.7108
02333,42.02285,-70.931
02334,42.02352,-71.1323
02337,42.02222,-70.9315
02338,41.98835,-70.8605
02339,42.12353,-70.851
02341,42.0557,-70.8759
02343,42.14442,-71.0028
02344,41.97047,-70.7013
02345,41.88819,-70.581
02346,41.91505,-70.882
02347,41.84375,-70.9599
02348,41.97047,-70.7013
02349,41.97047,-70.7013
02350,42.01852,-70.8474
02351,42.11749,-70.9598
02355,41.91691,-70.8013
02356,42.0534,-71.1203
02357,42.06449,-71.087
02358,41.95351,-70.7131
02359,42.0657,-70.8007
02360,41.8862,-70.6387
02361,41.97047,-70.7013
02362,41.97047,-70.7013
02364,41.9794,-70.7448
02366,41.85008,-70.7044
02367,41.96914,-70.8122
02368,42.17146,-71.0556
02370,41.95419,-70.885
02375,42.02319,-71.111
02379,42.02165,-71.0235
02381,41.9316,-70.561
02382,42.0785,-70.9408
02401,42.07939,-71.0345
02402,42.0863,-70.9993
02403,41.97047,-70.7013
02404,41.97047,-70.7013
02405,41.97047,-70.7013
02420,42.45631,-71.2166
02421,42.44256,-71.2264
02445,42.31809,-71.1436
02446,42.34309,-71.123
02447,42.18004,-71.0892
02451,42.39858,-71.245
02452,42.39431,-71.218
02453,42.36539,-71.2316
02454,42.35671,-71.2504
02456,42.44639,-71.4594
02457,42.18004,-71.0892
02458,42.38509,-71.2083
02459,42.33414,-71.1832
02460,42.37429,-71.1823
02461,42.36119,-71.2053
02462,42.34949,-71.2096
02464,42.36599,-71.2218
02465,42.37814,-71.2131
02466,42.34669,-71.2249
02467,42.35756,-71.2116
02468,42.32714,-71.2315
02471,42.44639,-71.4594
02472,42.36309,-71.2013
02474,42.41759,-71.1596
02475,42.44639,-71.4594
02476,42.37914,-71.1842
02477,42.44639,-71.4594
02478,42.41279,-71.2043
02479,42.44639,-71.4594
02481,42.31059,-71.2746
02482,42.29454,-71.2992
02492,42.27979,-71.25
02493,42.37592,-71.2272
02494,42.30014,-71.2631
02495,42.44639,-71.4594
02532,41.7455,-70.5904
02534,41.66937,-70.6233
02535,41.37903,-70.673
02536,41.6625,-70.5628
02537,41.72832,-70.4399
02538,41.77544,-70.6605
02539,41.40117,-70.552
02540,41.61419,-70.4932
02541,41.79931,-70.3086
02542,41.65308,-70.5537
02543,41.5938,-70.6464
02552,41.37983,-70.643
02553,41.67336,-70.608
02554,41.28764,-70.0866
02556,41.65296,-70.3754
02557,41.41737,-70.56
02558,41.74756,-70.6581
02559,41.69477,-70.6227
02561,41.77025,-70.5336
02562,41.79326,-70.5195
02563,41.71129,-70.4774
02564,41.27394,-70.0155
02565,41.79931,-70.3086
02568,41.41595,-70.5952
02571,41.76021,-70.6946
02573,41.37983,-70.643
02574,41.60394,-70.6381
02575,41.42125,-70.6428
02576,41.76986,-70.7496
02584,41.27779,-70.046
02601,41.82981,-70.1388
02630,41.69731,-70.3013
02631,41.85299,-70.0444
02632,41.79631,-70.1751
02633,41.85955,-70.0468
02634,41.79931,-70.3086
02635,41.62434,-70.4363
02636,41.79931,-70.3086
02637,41.70143,-70.2772
02638,41.72571,-70.0891
02639,41.75074,-70.0718
02641,41.73471,-70.2046
02642,41.85061,-70.0206
02643,41.7843,-69.962
02644,41.79003,-70.2686
02645,41.83558,-70.0433
02646,41.84571,-70.0535
02647,41.635,-70.3063
02648,41.81303,-70.2466
02649,41.78833,-70.2535
02650,41.73497,-70.029
02651,41.82426,-69.9817
02652,41.93106,-70.2835
02653,41.85293,-70.0153
02655,41.81017,-70.1912
02657,41.88877,-70.091
02659,41.84893,-70.0301
02660,41.80038,-70.0892
02661,41.6862,-70.0328
02662,41.75669,-69.9841
02663,41.80053,-70.0767
02664,41.82412,-70.0842
02666,41.98737,-70.0471
02667,41.8213,-70.0228
02668,41.79055,-70.2017
02669,41.69872,-70.0049
02670,41.71085,-70.0721
02671,41.84671,-70.0382
02672,41.63563,-70.3233
02673,41.7761,-70.1505
02675,41.71627,-70.1358
02702,41.78299,-71.0173
02703,41.93897,-71.3022
02712,41.75621,-71.067
02713,41.42178,-70.9313
02714,41.75621,-71.067
02715,41.81765,-71.1517
02717,41.74735,-70.9789
02718,41.8714,-71.0131
02719,41.63167,-70.87
02720,41.81976,-71.1659
02721,41.67889,-71.1536
02722,41.75621,-71.067
02723,41.6938,-71.133
02724,41.6842,-71.1751
02725,41.72385,-71.1739
02726,41.75795,-71.1536
02738,41.73673,-70.754
02739,41.66497,-70.8108
02740,41.63341,-70.951
02741,41.75621,-71.067
02742,41.61955,-70.9563
02743,41.71189,-70.9082
02744,41.60935,-70.9161
02745,41.7087,-70.9468
02746,41.6657,-70.943
02747,41.63926,-71.0075
02748,41.56646,-70.9842
02760,41.96437,-71.3264
02761,41.75621,-71.067
02762,42.01355,-71.3343
02763,41.97258,-71.3082
02764,41.84779,-71.1557
02766,41.95914,-71.1803
02767,41.9367,-71.0489
02768,41.75621,-71.067
02769,41.85298,-71.243
02770,41.75181,-70.846
02771,41.8401,-71.3189
02777,41.76662,-71.2344
02779,41.82824,-71.0641
02780,41.85885,-71.0928
02783,41.75621,-71.067
02790,41.61547,-71.0796
02791,41.5191,-71.0851
02801,41.53013,-71.284
02802,41.95409,-71.462
02804,41.32236,-71.6792
02806,41.7425,-71.3203
02807,41.18888,-71.5776
02808,41.40378,-71.7616
02809,41.67837,-71.2704
02812,41.46914,-71.675
02813,41.39507,-71.6654
02814,41.88897,-71.6887
02815,41.77052,-71.6558
02816,41.69425,-71.6367
02817,41.63116,-71.6671
02818,41.64335,-71.478
02822,41.5469,-71.6502
02823,41.7312,-71.5467
02824,42.00024,-71.563
02825,41.79056,-71.7064
02826,41.98241,-71.6008
02827,41.69167,-71.7274
02828,41.87929,-71.5516
02829,41.87929,-71.5893
02830,41.97239,-71.6485
02831,41.75359,-71.5777
02832,41.50963,-71.7338
02833,41.47511,-71.7726
02835,41.51412,-71.3772
02836,41.44742,-71.6204
02837,41.51025,-71.1663
02838,41.96784,-71.4756
02839,41.94171,-71.6375
02840,41.48755,-71.327
02841,41.49897,-71.299
02842,41.51975,-71.2731
02852,41.58685,-71.4648
02854,41.37531,-71.6439
02857,41.83882,-71.655
02858,41.9623,-71.6475
02859,41.96415,-71.7233
02860,41.87514,-71.3927
02861,41.87824,-71.3698
02862,41.86125,-71.369
02863,41.88984,-71.3941
02864,41.94949,-71.4326
02865,41.92529,-71.4933
02871,41.58523,-71.2641
02872,41.70711,-71.2868
02873,41.51992,-71.774
02874,41.47846,-71.4717
02875,41.45603,-71.6354
02876,41.99839,-71.5763
02877,41.5289,-71.5298
02878,41.61018,-71.1751
02879,41.44365,-71.5342
02880,41.37531,-71.6439
02881,41.4829,-71.5243
02882,41.37718,-71.4977
02883,41.37531,-71.6439
02885,41.72745,-71.2574
02886,41.70247,-71.479
02887,41.68245,-71.5577
02888,41.7473,-71.411
02889,41.68918,-71.496
02891,41.28449,-71.7107
02892,41.50576,-71.6211
02893,41.69682,-71.5073
02894,41.45005,-71.7074
02895,41.98459,-71.5193
